1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
38.0,38.0,35.3333,35.3333,35.3333,0.0,0.0,1.0
33.9333,33.9333,33.0,33.0,33.0,900.0,0.0,1.0
31.6667,31.6667,31.6667,31.6667,31.6667,0.0,0.0,1.0
32.0,34.3333,32.0,34.3333,34.3333,3300.0,0.0,1.0
34.8667,35.2667,34.8667,35.2667,35.2667,600.0,0.0,1.0
33.6667,33.6667,33.5,33.5,33.5,300.0,0.0,1.0
33.5,33.5,33.5,33.5,33.5,0.0,0.0,1.0
33.5,34.6667,33.5,34.6667,34.6667,300.0,0.0,1.0
34.3333,34.3333,34.3333,34.3333,34.3333,45.0,0.0,1.0
34.5,36.1667,34.5,36.1667,36.1667,144.0,0.0,1.0
36.0,36.0,34.6667,35.0,35.0,300.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36.1667,36.1667,35.6667,35.6667,35.6667,90.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.0,36.2667,34.0,36.2667,36.2667,300.0,0.0,1.0
35.6667,35.6667,35.6667,35.6667,35.6667,0.0,0.0,1.0
36.6667,36.6667,36.6667,36.6667,36.6667,45.0,0.0,1.0
36.3333,36.3333,36.3333,36.3333,36.3333,1500.0,0.0,1.0
35.8333,37.3667,35.8333,37.3667,37.3667,2700.0,0.0,1.0
37.6667,37.6667,37.6667,37.6667,37.6667,0.0,0.0,1.0
38.3333,38.3333,37.6667,37.6667,37.6667,75.0,0.0,1.0
38.0,38.0,37.0,37.3333,37.3333,600.0,0.0,1.0
38.0,38.0,38.0,38.0,38.0,600.0,0.0,1.0
37.8333,38.3333,37.8333,38.3333,38.3333,300.0,0.0,1.0
38.4167,38.4167,37.8333,37.8333,37.8333,300.0,0.0,1.0
38.6667,39.3333,38.6667,39.3333,39.3333,300.0,0.0,1.0
39.0,41.0,39.0,41.0,41.0,300.0,0.0,1.0
40.1667,40.1667,40.0,40.0,40.0,30.0,0.0,1.0
39.5,39.5,39.5,39.5,39.5,0.0,0.0,1.0
37.8333,37.8333,37.8333,37.8333,37.8333,0.0,0.0,1.0
37.8333,37.8333,37.8333,37.8333,37.8333,0.0,0.0,1.0
38.3333,38.3333,38.3333,38.3333,38.3333,600.0,0.0,1.0
38.6667,38.6667,38.6667,38.6667,38.6667,0.0,0.0,1.0
38.3333,38.3333,38.3333,38.3333,38.3333,15.0,0.0,1.0
40.3333,40.8333,40.3333,40.8333,40.8333,600.0,0.0,1.0
40.3333,41.1667,40.2333,41.1667,41.1667,2100.0,0.0,1.0
41.3333,41.3333,40.3333,40.3333,40.3333,2400.0,0.0,1.0
40.6667,40.6667,40.6667,40.6667,40.6667,0.0,0.0,1.0
41.0,41.0,41.0,41.0,41.0,0.0,0.0,1.0
41.0,41.3333,41.0,41.3333,41.3333,135.0,0.0,1.0
41.3333,41.3333,41.3333,41.3333,41.3333,0.0,0.0,1.0
42.0,42.0,41.1667,41.1667,41.1667,123.0,0.0,1.0
41.6667,41.6667,41.1667,41.1667,41.1667,225.0,0.0,1.0
41.0,41.0,39.0,39.0,39.0,1500.0,0.0,1.0
38.3333,38.3333,38.0,38.1667,38.1667,2100.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.1667,37.1667,37.1667,37.1667,37.1667,0.0,0.0,1.0
39.6667,39.6667,39.3333,39.3333,39.3333,60.0,0.0,1.0
37.3333,37.3333,37.3333,37.3333,37.3333,0.0,0.0,1.0
38.0,39.0,38.0,38.1667,38.1667,300.0,0.0,1.0
37.0333,37.0333,37.0333,37.0333,37.0333,0.0,0.0,1.0
37.5,37.5,36.1667,36.1667,36.1667,900.0,0.0,1.0
34.4,34.4,34.4,34.4,34.4,0.0,0.0,1.0
36.3333,37.0,36.3333,36.6667,36.6667,600.0,0.0,1.0
36.6667,37.0,36.6667,37.0,37.0,0.0,0.0,1.0
37.6667,38.1667,37.6667,38.1667,38.1667,0.0,0.0,1.0
37.4333,38.3333,37.4333,38.3333,38.3333,0.0,0.0,1.0
37.7333,39.3333,37.7333,39.3333,39.3333,300.0,0.0,1.0
39.3333,39.3333,39.3333,39.3333,39.3333,0.0,0.0,1.0
37.5,37.5,37.5,37.5,37.5,0.0,0.0,1.0
36.8667,37.8333,36.8667,37.8333,37.8333,600.0,0.0,1.0
38.6667,38.6667,38.6667,38.6667,38.6667,0.0,0.0,1.0
39.0,39.0,39.0,39.0,39.0,0.0,0.0,1.0
37.6667,37.6667,37.5333,37.5333,37.5333,600.0,0.0,1.0
37.1667,37.1667,37.1667,37.1667,37.1667,0.0,0.0,1.0
37.5,38.5,37.5,38.3333,38.3333,900.0,0.0,1.0
38.6667,38.6667,38.6667,38.6667,38.6667,90.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.6667,37.6667,37.6667,37.6667,37.6667,0.0,0.0,1.0
38.0,38.0,38.0,38.0,38.0,0.0,0.0,1.0
38.1667,38.1667,38.1667,38.1667,38.1667,0.0,0.0,1.0
37.5,37.5,36.0,36.0,36.0,0.0,0.0,1.0
37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0
35.5,37.2333,35.5,37.2333,37.2333,0.0,0.0,1.0
37.8333,38.5,37.8333,38.1667,38.1667,900.0,0.0,1.0
37.5,37.5667,36.8333,36.8333,36.8333,1500.0,0.0,1.0
36.6667,38.0,36.6667,38.0,38.0,0.0,0.0,1.0
38.2333,38.2333,37.8,37.8,37.8,3000.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38.1667,38.1667,37.3333,37.3333,37.3333,3.0,0.0,1.0
37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0
36.1667,36.6667,35.0,35.5,35.5,1500.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35.3333,35.3333,34.3333,35.1667,35.1667,1200.0,0.0,1.0
35.6667,35.6667,35.6667,35.6667,35.6667,0.0,0.0,1.0
35.1667,36.4667,35.1667,35.8667,35.8667,5100.0,0.0,1.0
